category_id,post_name,option A,option B,option C,option D,correct option,explanation
9,डोल्पो जातिमा कस्तो विवाह प्रथा रहेको छ ? ,एकपति,बहुपति ,बहुपत्नी,अपहरण विवाह,b,
9,केटी माग्न जाँदा मंगलबार पारेर जाने जाति कुन हो ? ,धानुक,थामी ,राजवंशी ,चेपाङ,d,
9,विवाहमा छोरीलाई चिउरीको बोट दाइजो दिने चलन कुन जातिमा रहेको छ ? ,धिमाल  ,बाँतर,चेपाङ,माझी,c,
33,लिम्बु भाषाको प्रथम चलचित्र कुन हो ? ,शिलु,पाते,तखेवा ,नुमाफुङ,d,
9,च्याब्रुङ नाच र धान नाचलाई पर्वको रुपमा मनाउने जाति कुन हो ? ,लिम्बु ,गुरूङ,तामाङ,मगर,a,
9,लेप्चा जातिले आफूलाई के भन्न रूचाउँछन् ? ,जोङ्खा ,मुखिया,मास्टर,रोङ्ग ,d,
9,लेप्चा जातिले बच्चा जन्मिएको तेस्रो दिनमा सुत्केरी चोख्याउन के को प्रयोग गर्छन् ? ,दूध ,जाँड ,गहुँत,दही,b,
9,तेन्याचिरिस कुन जातिले मनाउने पर्व हो ? ,वनकरिया ,सौका ,सतार ,ल्होपा ,d,
9,श्रीमती हुँदाहुँदै अर्की श्रीमती ल्याएमा लोग्नेले घर छोड्नुपर्ने चलन कुन जातिमा रहेको छ ? ,ल्होपा ,ल्होमी ,चेपाङ,तामाङ,b,
9,छ महिना गाउँ र छ महिना जंगलमा बसोबास गर्ने जाति कुन हो ? ,राउटे,व्यासी,वनकरिया ,जिरेल,c,
9,आफूलाई व्यास ऋषिको वंशज मान्ने जाति कुन हो ? ,बराल,मगर,राम,व्यासी ,d,
9,शेर्पा जातिले गर्ने श्राद्धलाई के भनिन्छ ? ,तोरनाला,फोग्यु,तिथि,श्राद्ध,b,
9,व्यासी जातिलाई अर्को के नामले चिनिन्छ ? ,रोङ्ग,बोडो,सौका ,व्यास,c,
33,शेर्पा जातिको पहिलो चलचित्र कुन हो ? ,नुमाफुङ,राजमती,आप्पा,खाङ्गी ,d,
9,सतार जातिका महिलाहरूले लगाउने पोशाकलाई के भनिन्छ ? ,घलेक ,पालाहन्दा ,हाकु पटासी,जामा,b,
9,आफ्नो घर अगाडी बाबरी फूल रोप्ने चलन कुन जातिमा रहेको छ ? ,जिरेल,चेपाङ,सतार ,दनुवार,c,
9,सोहराय कुन जातिले मनाउने पर्व हो ? ,छन्त्याल  ,सतार ,सन्थाल ,झाँगड,b,
9,सुरेल जातिको न्वारन गर्ने कार्यलाई के भनिन्छ ? ,बासिने ,न्वारन,पासनी,नामाकरण,a,
9,शेर्पा जातिको कुल देवतालाई के भनिन्छ ? ,भिमसेन,जिङ,देउवागण,सहलेस,b,
9,दधिकाँधो पर्व कुन जातिसँग सम्बन्धित छ ? ,गन्धर्व ,सन्थाल ,राजवंशी ,सतार,c,
9,शेर्पा जातिको मुल थलो कुन जिल्लाई मानिन्छ ? ,संखुवासभा ,मुस्ताङ,हुम्ला,सोलुखुम्बु ,d,
9,दधिकाँधो पर्व कहिले मनाइन्छ ? ,रामनवमीमा,शिवरात्रीको अघिल्लो दिन,कृष्ण जन्माष्टमीको भोलिपल्ट,फागु पूर्णिमामा,c,
9,शिरूवा पर्व कुन जातिसँग सम्बन्धित छ ? ,थारू,राजवंशी ,दनुवार,सतार,b,
9,चैतेनी कुन जातिले मनाउने पर्व हो ? ,राजवंशी ,गन्धर्व ,दनुवार,चेपाङ,b,
9,राजवंशी जातिको मुख्य पर्व कुन हो ? ,माघी,ल्होसार,शिरुवा ,चैतेनी,c,
9,गुरुङ महिलाले पिठ्यूँमा गादो भिर्ने कपडालाई के भनिन्छ ? ,घलेक वा पेटाङे ,बुर्का,खास्टो,मजेत्रो,a,
9,मौरी बाजा कुन जातिको परम्परागत बाजा हो ?,थकाली ,सन्थाल ,गन्धर्व ,छन्त्याल  ,d,
9,बाहा पर्व कुन जातिसँग सम्बन्धित छ ? ,धिमाल,चेपाङ,सतार ,दनुवार,c,
9,भारतमा सतार जातिलाई के भनिन्छ ? ,सत्याल,सतार ,सन्थाल ,सुनुवार,c,
9,डोल्पो जातिलाई स्थानीय भाषामा के भनिन्छ ? ,डोल्पाली,धोल्पोवा ,डोल्मा,ल्होमी,b,
9,मेचे जातिलाई अर्को के नामले चिनिन्छ ? ,सुरेल ,जिरेल,रोङ्ग,बोडो,d,
33,चिन्नो जान्नो कुन भाषाको पत्रिका हो ?  ,तामाङ,नेपाली,चेपाङ,मैथली,c,
9,छन्त्याल जातिको मुख्य चाड कुन हो ? ,लाफेवा,लागाँ,बाहा,ल्होसार,b,
9,थकाली जातिहरूले ल्हाफेवा चाड कति वर्षमा मनाउने गर्दछन् ? ,५/५ वर्षमा ,२/२ वर्षमा ,१०/१०वर्षमा,१२/१२ वर्षमा ,d,
4,नेवारहरूलाई ६४ जातमा विभाजन कसले गरेका थिए ? ,जयस्थिति मल्ल,प्रताप मल्ल,मानदेव,अंशुबर्मा,a,
9,कुन जातिमा ढिकुर प्रथा कायम रहेको छ ?,पहरी ,थकाली ,धिमाल,चेपाङ,b,
9,थारु जातिको गाउँको प्रमुखलाई के भनिन्छ ?  ,मुखिया,जिवा,सरपन्च,भलमन्सा,d,
9,थारु जातिको कुल देवतालाई के भनिन्छ ?,भिमसेन,वायु,पुरेत,भुसाल ,d,
9,रणवाघ भन्नाले कुन बाजालाई चिनिन्छ ? ,धिमे,सहनाई,सारङ्गी,विनायो,a,
9,महिलाको लासलाई तेल लगाएर गाड्ने चलन कुन जातिमा रहेको छ ?  ,बाँतर,धिमाल,सतार,थकाली ,b,
33,नेवारी भाषाको पहिलो चलचित्र कुन हो ? ,राजमती,महानर्क,सिलु ,नुमाफुङ,c,
33,साहित्य लेखनमा नेपाली पछिको दोस्रो भाषा कुन हो ? ,नेवारी ,तामाङ,मैथली,थारू,a,
